2.D1.S1.25	3.D3.M4.80	1.D1.S3.27	2.D3.M2.82	2.D4.M2.90	1.D2.S3.39	3.D1.M3.31	3.E4.S4.64	1.D3.M3.79	2.E4.S4.64	1.D3.M1.77	3.D2.M2.42	3.D4.M4.92	2.E4.S2.62	3.D3.S2.74	3.E3.S4.52	2.E3.M1.57	2.E3.M2.58	2.E1.M1.5	2.D4.S3.87	3.E3.M3.59	1.D3.S1.73	1.D3.S3.75	3.D3.S4.76	3.D3.M1.81	3.D4.M4.96	1.E2.S1.13	3.D4.M2.94	3.E4.S3.63	1.E3.S3.51	2.D1.M2.34	1.D4.S1.85	3.E3.M1.57	3.E1.M1.5	3.E3.M4.60	3.D3.M3.79	1.E4.S1.61	2.D1.M3.35	3.D1.S4.28	1.E2.M3.19	3.D4.M3.91	2.D3.S3.75	2.D4.S1.85	1.E1.M2.6	1.D3.S2.74	1.D2.M3.47	3.E2.M1.21	1.D2.S2.38	1.E2.M4.20	2.E4.M2.66	1.D4.M2.90	1.D3.M4.84	3.E1.S1.1	1.E1.M4.12	3.D2.M1.45	3.E2.M4.24	2.E2.S2.14	3.E1.S2.2	2.E1.S2.2	1.E3.M3.55	1.D1.M2.30	2.E4.S1.61	2.D3.M4.84	1.E3.M1.53	3.E4.M3.67	1.D4.M2.94	3.E3.M3.55	3.D1.M1.33	3.D3.S3.75	1.E3.M4.56	3.D3.S1.73	3.E1.M3.11	2.D3.M3.79	1.E2.M2.18	3.D2.S4.40	1.D2.S1.37	2.D2.S4.40	1.E1.M2.10	1.E3.M1.57	3.D1.M2.30	1.D1.S1.25	2.E4.M1.69	2.D2.M1.41	3.D3.M3.83	1.D1.M2.34	2.E3.S2.50	2.D4.M2.94	2.E3.M3.55	2.D4.M3.95	3.D4.S3.87	3.D1.M4.32	1.D3.M1.81	2.D1.M1.29	3.D2.M4.48	1.D4.M3.95	1.E1.M4.8	2.D1.M4.36	2.D2.S3.39	1.D2.M4.48	1.D2.M2.42	2.E3.M4.60	2.D1.S2.26	1.D4.M1.89	2.E4.M3.67	2.D2.M2.42	3.D2.S1.37	3.D3.M4.84	1.D3.S4.76	1.E2.M3.23	2.E2.S3.15	2.E1.M2.6	1.E4.S3.63	1.D4.M4.92	1.D1.S2.26	2.D1.S4.28	3.D3.M2.82	2.E4.M4.72	2.D3.S1.73	1.D1.M4.36	1.D1.M4.32	2.D2.M4.48	2.E4.S3.63	3.D1.S1.25	1.E2.M4.24	2.D3.S2.74	1.D1.M3.35	3.D1.S3.27	2.E2.S4.16	1.E1.M3.7	2.E3.S3.51	2.E1.S4.4	2.E4.M3.71	1.E4.M4.68	2.E3.M4.56	3.E1.M4.12	3.D1.S2.26	3.D4.M3.95	1.D3.M4.80	1.D1.M1.29	1.E4.M4.72	2.E3.M1.53	3.D4.S4.88	2.E3.S4.52	1.E3.S2.50	2.E2.M4.24	1.E1.M1.9	3.E4.M1.65	3.E2.M3.19	1.E3.M3.59	1.E4.M2.66	1.D4.S3.87	2.D2.S1.37	2.E2.M1.22	1.E1.M3.11	2.D3.M2.78	1.E2.S4.16	3.D1.M1.29	3.E4.M4.68	1.E3.M4.60	3.E3.M4.56	2.E4.M4.68	2.E1.M4.8	1.E1.S3.3	1.D3.M2.82	1.E2.S2.14	2.D2.M2.46	3.D4.M1.93	1.E2.M1.17	3.E2.M4.20	2.E2.M4.20	3.E2.M2.18	2.D4.M1.89	2.E1.M4.12	2.D4.S2.86	3.E1.M2.6	2.D1.S3.27	2.D2.M3.47	3.E2.S4.16	3.D2.M2.46	1.E3.M2.54	2.D4.M1.93	2.D3.M4.80	2.D2.M1.45	1.D2.M2.46	2.E1.M3.7	3.E3.M2.58	2.D1.M2.30	2.E1.S1.1	3.E2.S2.14	3.E3.M2.54	3.D4.S2.86	3.E4.M2.66	1.D4.M3.91	3.E3.S3.51	3.E1.M2.10	1.E1.M1.5	2.E2.M3.19	1.D1.M1.33	3.D4.S1.85	3.D2.S3.39	3.E4.M4.72	2.E4.M2.70	3.D3.M2.78	2.E1.S3.3	1.E2.S3.15	1.E4.M2.70	3.E4.M3.71	2.D3.S4.76	2.D3.M3.83	1.E4.S4.64	2.E2.M3.23	3.E3.S1.49	3.E2.S3.15	3.D4.M1.89	2.E2.M1.17	3.D1.M3.35	1.E1.S1.1	1.D4.M1.93	1.D3.M3.83	3.E2.S1.13	2.E2.S1.13	2.E4.M1.65	3.E2.M3.23	1.E4.S2.62	2.D1.M3.31	1.D2.M1.41	3.E1.M3.7	3.D2.M1.41	2.D3.M1.81	3.E4.M2.70	1.D2.S4.40	3.D1.M4.36	2.E1.M1.9	2.E3.M2.54	1.E4.M3.67	2.D4.S4.88	3.D4.M2.90	2.D4.M4.96	3.E1.M1.9	2.D3.M1.77	1.D1.M3.31	3.E4.S2.62	3.E1.S3.3	1.D4.S2.86	3.D3.M1.77	1.E2.M1.21	3.E1.M4.8	1.E3.M2.58	1.E4.M3.71	1.D4.M4.96	2.D2.S2.38	1.E4.M1.69	3.D2.M3.47	3.E2.M1.22	3.E3.M1.53	3.E4.M1.69	2.E2.M2.18	2.D1.M4.32	2.E1.M3.11	1.D4.S4.88	2.E2.M1.21	1.E1.S2.2	1.E3.S1.49	1.D2.M1.45	3.E3.S2.50	1.E1.S4.4	2.D2.M4.44	3.D2.S2.38	3.E1.S4.4	1.D3.M2.78	2.D1.M1.33	3.E2.M1.17	3.D1.M2.34	2.E3.S1.49	2.D4.M4.92	3.E4.S1.61	3.D2.M4.44	2.D4.M3.91	1.D1.S4.28	2.E1.M2.10	1.E3.S4.52	1.E4.M1.65	2.E3.M3.59	1.D2.M4.43
OTU_30	157	0	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	43	0	0	0	0	0	15	0	33	0	0	15	211	31	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	18	0	0	0	0	0	0	0	95	0	0	0	0	22	0	12	0	0	0	25	121	0	0	0	0	38	29	0	0	0	0	0	0	0	0	48	112	17	0	0	0	0	0	0	13	0	28	130	115	0	0	0	75	0	0	0	0	0	0	98	0	0	0	12	16	0	0	0	0	0	0	0	0	14	0	27	0	28	23	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	19	0	0	0	0	57	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	12	38	0	0	0	0	0	0	0	0	190	0	0	0	11	0	0	0	0
OTU_17	932	0	0	0	0	0	0	60	0	0	0	0	85	0	0	146	0	0	0	84	0	56	0	89	101	47	0	0	0	93	0	0	0	0	45	0	244	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	54	0	111	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	202	54	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	171	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	110	0	0	297	0	0	59	0	0	0	72	0	0	185	0	0	121	0	0	0	528	0	342	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	244	0	0	0	49	229	0	0	0	0	0	45	0	378	0	0	0	0	0	0	124	70	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	90	139	0	36	0	0	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	121	0	198	0	0	0	0	0	0
OTU_32	31	0	0	0	18	0	0	0	0	95	0	0	10	23	0	0	0	0	0	0	32	0	16	0	0	0	0	0	0	0	0	19	0	0	0	0	48	0	0	10	0	0	22	0	0	0	0	10	79	15	22	0	0	0	0	0	0	0	0	13	0	11	0	70	0	0	0	0	0	0	0	0	32	0	0	0	47	0	0	0	44	26	0	10	0	11	0	13	0	0	0	25	15	0	0	11	0	0	0	0	0	21	0	45	41	0	0	0	0	12	0	14	28	31	0	0	0	0	0	0	0	10	0	0	45	0	0	12	0	0	0	0	0	10	0	0	0	0	25	0	0	0	40	24	0	0	0	10	0	0	13	24	0	0	0	0	0	0	0	0	0	10	60	0	37	26	0	0	0	27	0	0	0	12	0	0	0	0	0	0	0	0	0	0	26	0	0	44	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	12	14	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	9	0	0	0	0	0	0	0	0	0	0	90	13	0	0	0	13	0	0	0	14	13	0	0	22	10	0	14	0	0	0	18	0	0
OTU_27	145	0	19	0	14	0	0	51	0	115	0	0	0	43	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	15	0	0	133	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	53	61	0	0	15	0	0	0	66	0	0	0	0	0	0	84	0	0	23	34	21	0	0	0	0	0	0	0	0	77	0	0	72	0	0	28	0	0	0	18	0	26	46	0	0	0	0	0	0	44	0	0	0	0	0	0	0	62	76	0	0	37	0	30	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	17	0	0	0	30	29	0	0	25	0	0	0	0	0	0	0	0	0	0	25	17	0	0	25	0	0	0	0	0	0	0	0	0	48	0	0	184	0	0	0	65	0	0	0	0	0	0	0	0	0	28	0	216	0	0	0	0	0	48	0	0	0	0	37	0	0	0	0	0	0	0	0	0	36	0	0	56	0	0	0	0	0	34	0	0	31	0	0	18	0	0	0	17	0	0	67	0	0	0	0	0	0	0	0	0	38	0	0	23	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3	0	0	1343	0	0	1685	0	0	1156	1037	939	0	0	590	0	0	0	0	1280	0	0	0	900	0	0	0	1236	0	0	629	0	1124	0	613	0	0	1890	0	0	4645	0	645	0	0	1816	0	0	3410	3609	611	1496	678	0	627	0	0	0	0	0	0	0	0	0	2325	0	1170	704	0	0	1396	0	0	0	1679	0	0	0	0	0	0	1118	849	1155	557	799	0	0	0	0	0	846	2436	568	0	0	0	0	0	0	0	0	4802	0	0	990	0	0	523	1008	785	0	1328	1253	1672	0	0	0	0	0	698	0	699	0	0	621	0	0	0	0	0	968	0	0	0	541	0	0	533	1472	0	1180	0	0	1285	0	711	0	0	0	0	0	0	0	0	0	1999	0	730	0	0	855	0	1930	0	837	0	0	0	0	0	665	0	0	0	1833	0	0	0	0	0	0	0	0	0	0	0	0	2404	609	0	0	0	946	0	0	0	0	0	0	0	0	0	0	1919	2229	0	0	0	0	936	0	0	0	0	0	0	0	0	0	0	0	0	0	1065	0	972	0	0	0	0	1872	0	0	0	0	0	0	0	0	0	552	0	0	1602	0	982	0	0	0	0	0	0	0	707	580	875	0	0	0	1213	0	1214	2967	0	0	1730	0	0	0	1517	0	0	0	0	0	0	0	0	0	0	0	580	0	0
OTU_2	0	0	0	2	0	0	0	0	0	0	0	0	4448	0	0	4007	0	6188	0	0	20046	0	0	4027	16583	18620	0	12408	0	0	0	0	21809	0	8914	0	0	0	0	0	4354	0	0	0	0	9636	4457	0	0	0	0	9170	0	0	12886	5582	0	0	0	0	0	0	0	0	0	8332	12738	5348	0	0	0	12459	0	0	0	0	0	0	0	0	0	31936	4175	12875	0	0	0	0	6513	0	0	0	0	19799	5852	0	0	0	10773	0	0	0	0	0	0	0	10075	0	0	0	0	0	0	0	0	18389	5652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14234	0	0	15759	0	5306	0	0	0	3921	0	0	0	10554	9852	0	5966	14654	0	0	0	0	15134	0	0	0	0	15471	0	0	7238	0	12750	0	11546	25497	12010	0	0	10244	0	18863	0	0	0	4348	0	6238	0	0	0	4978	4356	0	23778	0	0	6671	0	0	15301	0	0	11154	0	0	8758	0	0	0	21763	5217	0	0	11942	0	0	16943	0	0	0	0	0	0	16090	0	0	5449	0	0	4989	29125	0	0	5112	0	0	7839	16256	0	17426	0	7679	5066	0	8340	0	9167	0	0	0	0	0	0	24708	0	12994	10566	5950	0	0	4643	22709	0	20784	0	0	11137	0	0	0	0	6297	6079	0	0	0	0	0	14228	0	11865	0	0	0	0	0	0	0	0	0	0	0
OTU_386	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8	0	538	446	0	0	324	0	0	0	310	0	0	0	292	0	0	0	0	437	0	876	0	272	324	0	0	925	0	0	351	0	255	279	316	0	0	1013	0	0	1087	0	0	0	0	1867	0	0	1146	1335	0	0	249	350	0	0	0	0	0	0	0	0	0	0	652	0	382	412	0	0	246	0	0	0	467	538	0	353	0	0	0	300	439	557	539	326	402	0	0	0	0	0	663	289	0	0	0	0	0	0	0	0	1499	0	254	0	0	0	0	268	452	450	431	673	0	0	0	0	0	0	0	0	406	0	0	225	0	455	0	0	250	342	0	0	0	0	0	0	0	413	0	0	0	0	646	0	244	230	250	0	0	0	590	0	0	0	599	261	248	0	0	0	0	462	0	0	318	0	0	0	0	412	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	815	0	0	0	370	344	0	0	0	0	238	0	0	0	0	702	325	224	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	557	0	0	0	0	0	0	0	0	0	764	0	0	0	0	1521	410	0	0	0	0	0	0	888	569	290	267	267	0	351	0	0	1141	0	0	267	289	0	303	455	0	0	0	0	0	0	0	0	0	0	0	251	0	0
OTU_14	284	0	142	0	41	48	0	0	0	0	0	0	0	114	0	0	0	0	57	0	0	0	54	0	0	0	283	0	0	48	0	96	0	0	0	0	101	0	0	479	0	115	79	0	227	46	0	283	0	0	67	75	0	0	0	0	0	0	0	96	0	0	0	190	0	57	0	0	0	0	0	0	0	0	74	0	90	0	0	0	0	0	0	0	370	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	240	0	0	0	84	0	79	49	0	0	121	0	0	0	0	68	0	0	0	0	0	0	313	0	0	0	0	0	0	0	98	0	0	83	0	83	96	0	131	0	0	60	0	0	0	0	0	0	104	0	0	59	0	0	0	0	0	164	0	0	0	0	0	327	182	0	59	0	0	0	86	0	0	0	0	0	0	0	0	0	297	0	0	0	0	339	0	0	0	0	65	192	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	141	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	273	0	0	100	0	83	0	44	0	72	0	0	0	0	129	0	0	306	0	312	0	0	0	48	0	0	0	0	0	0	78	0	0	226	0	0	0	0	0	155	0	0
OTU_62	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	12	0	0	29	0	0	0	0	0	18	0	7	16	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	26	0	0	12	0	0	12	0	0	0	9	0	9	0	0	0	0	0	0	0	8	0	0	8	0	0	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	17	0	0	0	0	24	0	0	0	11	8	9	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	17	7	0	0	0	8	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	14	25	0	0	0	0	0	0	0	0	0
