Kingdom,Phylum,Class,Order,Family,Genus,Species,X
OTU_30,Fungi,Ascomycota,unclassified_Ascomycota,unclassified_Ascomycota,unclassified_Ascomycota,unclassified_Ascomycota,unclassified_Ascomycota
OTU_17,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Epicoccum,Epicoccum_nigrum|SH197545.06FU
OTU_32,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH216151.06FU
OTU_27,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unclassified_Pleosporales,unclassified_Pleosporales,unclassified_Pleosporales
OTU_3,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
OTU_2,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,Erysiphe_necator|SH226692.06FU
OTU_386,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH227211.06FU
OTU_8,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
OTU_14,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleospora,Pleospora_herbarum|SH224791.06FU
OTU_62,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH227806.06FU
OTU_271,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,unclassified_Lophiostoma
OTU_55,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria_capensis|SH222468.06FU
OTU_4,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_chernovii|SH216501.06FU
OTU_7,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_brasiliensis|SH202145.06FU
OTU_67,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma_fuckelii|SH237048.06FU
OTU_52,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,unclassified_Agaricaceae,unclassified_Agaricaceae
OTU_12,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_metachromatica|SH224792.06FU
OTU_357,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,unclassified_Phaeosphaeriaceae,unclassified_Phaeosphaeriaceae
OTU_10,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_eichhorniae|SH224789.06FU
OTU_56,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH230637.06FU
OTU_268,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiomycetes_unidentified,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_sp|SH228428.06FU
OTU_100,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH217121.06FU
